LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC
ARE,1995,0.0,101.98377099999999,0.0,0.0,0.0,0.0
ARE,1996,0.0,104.95373,0.0,0.0,0.0,0.0
ARE,1997,0.0,108.965357,0.0,0.0,0.0,0.0
ARE,1998,0.0,109.81782600000001,0.0,0.0,0.0,0.0
ARE,1999,0.0,111.435372,0.0,0.0,0.0,0.0
ARE,2000,0.0,109.37245999999999,0.0,0.0,0.0,0.0
ARE,2001,0.0,124.324713,0.0,0.0,0.0,0.0
ARE,2002,0.0,125.437893,0.0,0.0,0.0,0.0
ARE,2003,0.0,129.239284,0.0,0.0,0.0,0.0
ARE,2004,0.0,134.77192200000002,0.0,0.0,0.0,0.0
ARE,2005,0.0,139.278211,0.0,0.0,0.0,0.0
ARE,2006,0.0,140.905594,0.0,0.0,0.0,0.0
ARE,2007,0.0,148.281066,0.0,0.0,0.0,0.0
ARE,2008,0.0,170.631837,0.0,0.0,0.0,0.0
ARE,2009,0.0,170.48895199999998,0.0,0.0,0.0,0.0
ARE,2010,0.0,175.818678,0.0,0.0,0.0,0.0
ARE,2011,0.0,180.217477,0.0,0.0,0.0,0.0
ARE,2012,0.0,190.26495599999998,0.0,0.0,0.0,0.0
ARE,2013,0.0,199.541791,0.0,0.0,0.0,0.0
ARE,2014,0.0,200.270469,0.0,0.0,0.0,0.0
ARE,2015,0.0,209.82792,0.0,0.0,0.0,0.0
ARE,2016,0.0,216.863757,0.0,0.0,0.0,0.0
ARE,2017,0.0,206.96370399999998,0.0,0.0,0.0,0.0
ARE,2018,0.0,187.34487900000002,0.0,0.0,0.0,0.0
ARE,2019,0.0,199.904345,0.0,0.0,0.0,0.0
ARE,2020,0.0,202.63604800000002,0.0,0.0,0.0,0.0
ARE,2021,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1960,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1961,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1962,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1963,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1964,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1965,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1966,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1967,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1968,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1969,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1970,0.0,0.0,0.0,0.0,0.0,0.0
ARG,1971,0.0,85.097514,0.0,0.0,0.0,0.0
ARG,1972,0.0,87.15563900000001,0.0,0.0,0.0,0.0
ARG,1973,0.0,90.219122,0.0,0.0,0.0,0.0
ARG,1974,0.0,90.54632600000001,0.0,0.0,0.0,0.0
ARG,1975,0.0,87.77854699999999,0.0,0.0,0.0,0.0
ARG,1976,0.0,91.625271,0.0,0.0,0.0,0.0
ARG,1977,0.0,95.561251,0.0,0.0,0.0,0.0
ARG,1978,0.0,94.194975,0.0,0.0,0.0,0.0
ARG,1979,0.0,99.253405,0.0,0.0,0.0,0.0
ARG,1980,0.0,96.87236899999999,0.0,0.0,0.0,0.0
