0,1,2,3,4,5
Gangnam-gu,2023-01-05,112966,Gangseo-gu,2023-04-14,5998.0
Gangseo-gu,2023-01-05,56523,Gangbuk-gu,2023-04-14,2303.0
Jung-gu,2023-01-05,72064,Seongdong-gu,2023-04-14,2113.0
Eunpyeong-gu,2023-01-05,4817,Jung-gu,2023-04-14,31499.0
Songpa-gu,2023-01-05,25661,Yangcheon-gu,2023-04-14,2635.0
Mapo-gu,2023-01-05,103084,Gwangjin-gu,2023-04-14,8065.0
Jungnang-gu,2023-01-05,45183,Jongno-gu,2023-04-15,5242.0
Gwangjin-gu,2023-01-05,75593,Gwangjin-gu,2023-04-15,8620.0
Dobong-gu,2023-01-05,119399,Yongsan-gu,2023-04-15,390.0
Nowon-gu,2023-01-05,53673,Jung-gu,2023-04-15,38983.0
Guro-gu,2023-01-05,131873,Seongdong-gu,2023-04-15,3389.0
Gangbuk-gu,2023-01-05,91631,Yangcheon-gu,2023-04-15,2627.0
Seocho-gu,2023-01-05,60489,Gwanak-gu,2023-04-15,3267.0
Seongdong-gu,2023-01-05,2649,Gangbuk-gu,2023-04-15,2647.0
Dongjak-gu,2023-01-05,145339,Seodaemun-gu,2023-04-15,2831.0
Yongsan-gu,2023-01-05,600,Mapo-gu,2023-04-15,2143.0
Gangdong-gu,2023-01-05,101011,Songpa-gu,2023-04-15,2826.0
Yangcheon-gu,2023-01-05,102649,Seoul_Grand_Park,2023-04-15,8462.0
Seodaemun-gu,2023-01-05,5947,Gangseo-gu,2023-04-15,5783.0
Mapo-gu,2023-01-06,108631,Gangnam-gu,2023-04-15,23306.0
Gwangjin-gu,2023-01-06,80081,Eunpyeong-gu,2023-04-15,2679.0
Gangnam-gu,2023-01-06,125998,Seocho-gu,2023-04-15,23805.0
Dobong-gu,2023-01-06,123182,Gangdong-gu,2023-04-15,4756.0
Seodaemun-gu,2023-01-06,6096,Gwangjin-gu,2023-04-16,6145.0
Songpa-gu,2023-01-06,29781,Gangnam-gu,2023-04-16,12273.0
Jung-gu,2023-01-06,75265,Gangbuk-gu,2023-04-16,1845.0
Jongno-gu,2023-01-06,13207,Seoul_Grand_Park,2023-04-16,11749.0
