자치구,측정날짜,방문자수,SIG_CD
Seongdong-gu,2023-01-13,3256.0,11200
Seocho-gu,2023-01-13,70355.0,11650
Gangnam-gu,2023-01-13,127205.0,11680
Guro-gu,2023-01-13,129762.0,11530
Gangdong-gu,2023-01-13,101214.0,11740
Songpa-gu,2023-01-13,25853.0,11710
Nowon-gu,2023-01-13,50662.0,11350
Gangseo-gu,2023-01-13,57537.0,11500
Dobong-gu,2023-01-13,116347.0,11320
Gwangjin-gu,2023-01-13,80699.0,11215
Yongsan-gu,2023-01-13,583.0,11170
Yangcheon-gu,2023-01-13,102378.0,11470
Geumcheon-gu,2023-01-13,103599.0,11545
Seodaemun-gu,2023-01-13,6171.0,11410
Dongjak-gu,2023-01-13,164641.0,11590
Jongno-gu,2023-01-13,21807.0,11110
Mapo-gu,2023-01-13,105244.0,11440
Eunpyeong-gu,2023-01-13,6081.0,11380
Gangbuk-gu,2023-01-13,91713.0,11305
Jungnang-gu,2023-01-13,44278.0,11260
Jung-gu,2023-01-13,72557.0,11140
Gwanak-gu,2023-01-14,34745.0,11620
Seodaemun-gu,2023-01-14,5932.0,11410
Gangdong-gu,2023-01-14,101726.0,11740
Yangcheon-gu,2023-01-14,103534.0,11470
Eunpyeong-gu,2023-01-14,5369.0,11380
Mapo-gu,2023-01-14,111649.0,11440
Gwangjin-gu,2023-01-14,82620.0,11215
Dobong-gu,2023-01-14,116986.0,11320
Gangnam-gu,2023-01-14,126128.0,11680
Geumcheon-gu,2023-01-14,94639.0,11545
Dongjak-gu,2023-01-14,160520.0,11590
Seocho-gu,2023-01-14,61385.0,11650
Yongsan-gu,2023-01-14,778.0,11170
Seongdong-gu,2023-01-14,5316.0,11200
Jungnang-gu,2023-01-14,43475.0,11260
Jung-gu,2023-01-14,75706.0,11140
Gangseo-gu,2023-01-14,52660.0,11500
Jongno-gu,2023-01-14,24399.0,11110
Nowon-gu,2023-01-14,52542.0,11350
Guro-gu,2023-01-14,128009.0,11530
Gangbuk-gu,2023-01-14,91902.0,11305
Songpa-gu,2023-01-14,27638.0,11710
Gangdong-gu,2023-01-15,93528.0,11740
Mapo-gu,2023-01-15,105501.0,11440
Gangbuk-gu,2023-01-15,82878.0,11305
Yangcheon-gu,2023-01-15,93650.0,11470
Dongjak-gu,2023-01-15,129501.0,11590
Jung-gu,2023-01-15,58074.0,11140
Jongno-gu,2023-01-15,6906.0,11110
Seongdong-gu,2023-01-15,3338.0,11200
Yongsan-gu,2023-01-15,614.0,11170
Seocho-gu,2023-01-15,32668.0,11650
Seodaemun-gu,2023-01-15,4392.0,11410
Jungnang-gu,2023-01-15,42651.0,11260
Gangnam-gu,2023-01-15,95619.0,11680
Nowon-gu,2023-01-15,49908.0,11350
Gwangjin-gu,2023-01-15,72301.0,11215
Eunpyeong-gu,2023-01-15,3443.0,11380
Guro-gu,2023-01-15,121496.0,11530
Geumcheon-gu,2023-01-15,83069.0,11545
Dobong-gu,2023-01-15,112657.0,11320
Songpa-gu,2023-01-15,25199.0,11710
Gangseo-gu,2023-01-15,45276.0,11500
Gwanak-gu,2023-01-15,32191.0,11620
Gangnam-gu,2023-01-16,120680.0,11680
Seongdong-gu,2023-01-16,1982.0,11200
Gwanak-gu,2023-01-16,32444.0,11620
Gwangjin-gu,2023-01-16,78622.0,11215
Gangbuk-gu,2023-01-16,91079.0,11305
Jung-gu,2023-01-16,60904.0,11140
Gangseo-gu,2023-01-16,56385.0,11500
Geumcheon-gu,2023-01-16,101474.0,11545
Eunpyeong-gu,2023-01-16,4766.0,11380
Songpa-gu,2023-01-16,27493.0,11710
Mapo-gu,2023-01-16,107160.0,11440
Dongjak-gu,2023-01-16,118158.0,11590
Jongno-gu,2023-01-16,4988.0,11110
Dobong-gu,2023-01-16,118025.0,11320
Seocho-gu,2023-01-16,59142.0,11650
Guro-gu,2023-01-16,131418.0,11530
Seodaemun-gu,2023-01-16,5707.0,11410
Yongsan-gu,2023-01-16,491.0,11170
Gangdong-gu,2023-01-16,101469.0,11740
Jungnang-gu,2023-01-16,45365.0,11260
Nowon-gu,2023-01-16,54540.0,11350
Yangcheon-gu,2023-01-16,105890.0,11470
Gangdong-gu,2023-01-17,102908.0,11740
Eunpyeong-gu,2023-01-17,4908.0,11380
Jungnang-gu,2023-01-17,46222.0,11260
Yongsan-gu,2023-01-17,552.0,11170
Gwangjin-gu,2023-01-17,80779.0,11215
Geumcheon-gu,2023-01-17,104425.0,11545
Gangbuk-gu,2023-01-17,90530.0,11305
Seodaemun-gu,2023-01-17,6358.0,11410
Gangnam-gu,2023-01-17,119494.0,11680
Dobong-gu,2023-01-17,119198.0,11320
Nowon-gu,2023-01-17,53323.0,11350
Songpa-gu,2023-01-17,26084.0,11710
Yangcheon-gu,2023-01-17,107585.0,11470
Dongjak-gu,2023-01-17,124159.0,11590
Gangseo-gu,2023-01-17,57517.0,11500
Guro-gu,2023-01-17,132795.0,11530
Jongno-gu,2023-01-17,4414.0,11110
Gwanak-gu,2023-01-17,31674.0,11620
Seocho-gu,2023-01-17,60449.0,11650
Mapo-gu,2023-01-17,109125.0,11440
Jung-gu,2023-01-17,56773.0,11140
Seongdong-gu,2023-01-17,2548.0,11200
Seodaemun-gu,2023-01-18,6679.0,11410
Guro-gu,2023-01-18,138168.0,11530
Eunpyeong-gu,2023-01-18,4835.0,11380
Jungnang-gu,2023-01-18,48630.0,11260
Yongsan-gu,2023-01-18,580.0,11170
Seocho-gu,2023-01-18,55267.0,11650
Jongno-gu,2023-01-18,4786.0,11110
Dongjak-gu,2023-01-18,137858.0,11590
Gangnam-gu,2023-01-18,126621.0,11680
Yangcheon-gu,2023-01-18,111855.0,11470
Gangseo-gu,2023-01-18,58487.0,11500
Geumcheon-gu,2023-01-18,107200.0,11545
Songpa-gu,2023-01-18,27087.0,11710
Mapo-gu,2023-01-18,113158.0,11440
Jung-gu,2023-01-18,57995.0,11140
Seongdong-gu,2023-01-18,2707.0,11200
Gangdong-gu,2023-01-18,107456.0,11740
Dobong-gu,2023-01-18,124366.0,11320
Gwangjin-gu,2023-01-18,84160.0,11215
