"long","lat","order","hole","piece","id","group"
127.01755574,37.5797879,123,FALSE,"1",11110,"11110.1"
127.01756829,37.57973722,124,FALSE,"1",11110,"11110.1"
127.01757749,37.5797192,125,FALSE,"1",11110,"11110.1"
127.01759712,37.57970625,126,FALSE,"1",11110,"11110.1"
127.01764343,37.5796909,127,FALSE,"1",11110,"11110.1"
127.01765495,37.57968709,128,FALSE,"1",11110,"11110.1"
127.01769864,37.57966709,129,FALSE,"1",11110,"11110.1"
127.01778877,37.57961423,130,FALSE,"1",11110,"11110.1"
127.01784173,37.57958316,131,FALSE,"1",11110,"11110.1"
127.01796076,37.57952515,132,FALSE,"1",11110,"11110.1"
127.01796625,37.57952037,133,FALSE,"1",11110,"11110.1"
127.01797226,37.57951586,134,FALSE,"1",11110,"11110.1"
127.01826667,37.57906307,135,FALSE,"1",11110,"11110.1"
127.01827274,37.57904706,136,FALSE,"1",11110,"11110.1"
127.01827958,37.57902901,137,FALSE,"1",11110,"11110.1"
127.01826772,37.57899437,138,FALSE,"1",11110,"11110.1"
127.01817903,37.5786827,139,FALSE,"1",11110,"11110.1"
127.01815231,37.57861513,140,FALSE,"1",11110,"11110.1"
127.01798866,37.57848479,141,FALSE,"1",11110,"11110.1"
127.01797114,37.57845326,142,FALSE,"1",11110,"11110.1"
127.01795451,37.57842342,143,FALSE,"1",11110,"11110.1"
127.017802,37.57829082,144,FALSE,"1",11110,"11110.1"
127.01769477,37.5781388,145,FALSE,"1",11110,"11110.1"
127.0176938,37.57812323,146,FALSE,"1",11110,"11110.1"
127.01769318,37.57811317,147,FALSE,"1",11110,"11110.1"
127.01777678,37.5780126,148,FALSE,"1",11110,"11110.1"
127.01780601,37.57797745,149,FALSE,"1",11110,"11110.1"
127.01778916,37.57797547,150,FALSE,"1",11110,"11110.1"
127.01777894,37.57796112,151,FALSE,"1",11110,"11110.1"
127.01780277,37.57794606,152,FALSE,"1",11110,"11110.1"
127.01781413,37.57793888,153,FALSE,"1",11110,"11110.1"
127.01786029,37.57791043,154,FALSE,"1",11110,"11110.1"
127.01792501,37.57782623,155,FALSE,"1",11110,"11110.1"
127.0180091,37.57774644,156,FALSE,"1",11110,"11110.1"
127.0180191,37.57773696,157,FALSE,"1",11110,"11110.1"
127.01810733,37.57757844,158,FALSE,"1",11110,"11110.1"
