자치구,측정날짜,방문자수
Seongdong-gu,2023-04-25,2225
Songpa-gu,2023-04-25,976
Seodaemun-gu,2023-04-25,3897
Seoul_Grand_Park,2023-04-25,5196
Jongno-gu,2023-04-25,3583
Gangdong-gu,2023-04-25,8528
Gwanak-gu,2023-04-25,4637
Mapo-gu,2023-04-25,2149
Eunpyeong-gu,2023-04-25,4052
Seocho-gu,2023-04-25,35309
Yongsan-gu,2023-04-25,438
Gangbuk-gu,2023-04-25,4515
Songpa-gu,2023-04-26,1356
Seocho-gu,2023-04-26,25976
Jongno-gu,2023-04-26,4350
Gwangjin-gu,2023-04-26,9316
Seongdong-gu,2023-04-26,1794
Gangdong-gu,2023-04-26,6082
Gangseo-gu,2023-04-26,6348
Seoul_Grand_Park,2023-04-26,5881
Jung-gu,2023-04-26,31774
Gangbuk-gu,2023-04-26,2800
Yangcheon-gu,2023-04-26,2977
Gangnam-gu,2023-04-26,21437
Gwanak-gu,2023-04-26,2390
Seodaemun-gu,2023-04-26,3593
Yongsan-gu,2023-04-26,297
Eunpyeong-gu,2023-04-26,3143
Mapo-gu,2023-04-26,1535
Gangseo-gu,2023-04-27,5557
Jongno-gu,2023-04-27,3436
Seocho-gu,2023-04-27,23775
Seodaemun-gu,2023-04-27,2905
Seongdong-gu,2023-04-27,1890
Gwangjin-gu,2023-04-27,8544
Gangnam-gu,2023-04-27,21955
Songpa-gu,2023-04-27,1788
Gwanak-gu,2023-04-27,2764
Mapo-gu,2023-04-27,1266
Seoul_Grand_Park,2023-04-27,7533
Jung-gu,2023-04-27,31462
Gangdong-gu,2023-04-27,5029
Yangcheon-gu,2023-04-27,2659
Yongsan-gu,2023-04-27,281
Gangbuk-gu,2023-04-27,2872
Eunpyeong-gu,2023-04-27,2626
Yangcheon-gu,2023-04-28,2061
Gangdong-gu,2023-04-28,4557
Gwanak-gu,2023-04-28,1920
Seodaemun-gu,2023-04-28,2592
Songpa-gu,2023-04-28,1818
Seoul_Grand_Park,2023-04-28,7585
Gwangjin-gu,2023-04-28,6430
Mapo-gu,2023-04-28,1384
Eunpyeong-gu,2023-04-28,2472
Yongsan-gu,2023-04-28,226
Seongdong-gu,2023-04-28,1963
Gangbuk-gu,2023-04-28,1984
Jongno-gu,2023-04-28,3160
Seocho-gu,2023-04-28,26032
Gangnam-gu,2023-04-28,19259
Gangseo-gu,2023-04-28,4470
Jung-gu,2023-04-28,22505
Songpa-gu,2023-04-29,895
Yangcheon-gu,2023-04-29,2218
Gwanak-gu,2023-04-29,2961
Seongdong-gu,2023-04-29,2876
Gangnam-gu,2023-04-29,20045
Seoul_Grand_Park,2023-04-29,5991
Jung-gu,2023-04-29,33912
Seodaemun-gu,2023-04-29,2545
Gangseo-gu,2023-04-29,3625
Seocho-gu,2023-04-29,21576
Mapo-gu,2023-04-29,1766
Jongno-gu,2023-04-29,4006
Yongsan-gu,2023-04-29,363
Gangdong-gu,2023-04-29,4421
Gangbuk-gu,2023-04-29,2329
Eunpyeong-gu,2023-04-29,2670
Gwangjin-gu,2023-04-29,7780
Songpa-gu,2023-04-30,729
Gangseo-gu,2023-04-30,3086
Mapo-gu,2023-04-30,2098
Gangdong-gu,2023-04-30,4976
Gwanak-gu,2023-04-30,2898
Seoul_Grand_Park,2023-04-30,23666
Gwangjin-gu,2023-04-30,7068
Yongsan-gu,2023-04-30,358
Eunpyeong-gu,2023-04-30,1889
Gangbuk-gu,2023-04-30,2468
Jongno-gu,2023-04-30,5104
Jung-gu,2023-04-30,31162
Seodaemun-gu,2023-04-30,2516
Seocho-gu,2023-04-30,16522
Seongdong-gu,2023-04-30,4608
Gangnam-gu,2023-04-30,14367
Yangcheon-gu,2023-04-30,1811
Jongno-gu,2023-05-01,5582
Yangcheon-gu,2023-05-01,1580
Jung-gu,2023-05-01,24064
Seongdong-gu,2023-05-01,3670
Gangdong-gu,2023-05-01,4950
Gangseo-gu,2023-05-01,4006
Seocho-gu,2023-05-01,17726
Mapo-gu,2023-05-01,1589
Gwangjin-gu,2023-05-01,5518
Gwanak-gu,2023-05-01,1998
Seoul_Grand_Park,2023-05-01,21429
Seodaemun-gu,2023-05-01,3038
Eunpyeong-gu,2023-05-01,2398
Gangbuk-gu,2023-05-01,2346
Songpa-gu,2023-05-01,647
Yongsan-gu,2023-05-01,249
Gangnam-gu,2023-05-01,15588
Yongsan-gu,2023-05-02,162
Seodaemun-gu,2023-05-02,2367
Gangbuk-gu,2023-05-02,1362
Mapo-gu,2023-05-02,1176
Jongno-gu,2023-05-02,2697
Seongdong-gu,2023-05-02,1798
Gangdong-gu,2023-05-02,4490
Songpa-gu,2023-05-02,405
Eunpyeong-gu,2023-05-02,2088
Gangnam-gu,2023-05-02,15762
Yangcheon-gu,2023-05-02,1464
Gangseo-gu,2023-05-02,5243
Seoul_Grand_Park,2023-05-02,3522
Gwangjin-gu,2023-05-02,4663
Seocho-gu,2023-05-02,20266
Jung-gu,2023-05-02,18095
Gwanak-gu,2023-05-02,1574
Seocho-gu,2023-05-03,21577
Yongsan-gu,2023-05-03,78
Gangdong-gu,2023-05-03,5166
Gwanak-gu,2023-05-03,2406
Seoul_Grand_Park,2023-05-03,6798
Songpa-gu,2023-05-03,75
