Gu,Date,DailyRain
관악구,2023-05-20,0.0
관악구,2023-05-21,0.0
관악구,2023-05-22,0.0
관악구,2023-05-23,0.0
관악구,2023-05-24,0.0
관악구,2023-05-25,0.0
관악구,2023-05-26,0.5
관악구,2023-05-27,45.0
관악구,2023-05-28,83.0
관악구,2023-05-29,10.5
관악구,2023-05-30,0.0
관악구,2023-05-31,0.0
관악구,2023-06-01,0.0
관악구,2023-06-02,0.0
관악구,2023-06-03,0.0
관악구,2023-06-04,0.0
관악구,2023-06-05,0.0
관악구,2023-06-06,0.0
관악구,2023-06-07,0.0
관악구,2023-06-08,0.5
관악구,2023-06-09,1.5
관악구,2023-06-10,5.0
관악구,2023-06-11,29.0
관악구,2023-06-12,0.0
관악구,2023-06-13,0.0
관악구,2023-06-14,10.0
관악구,2023-06-15,0.0
관악구,2023-06-16,0.0
관악구,2023-06-17,0.0
관악구,2023-06-18,0.0
관악구,2023-06-19,0.0
관악구,2023-06-20,21.0
관악구,2023-06-21,35.0
관악구,2023-06-22,0.0
관악구,2023-06-23,0.0
관악구,2023-06-24,0.0
관악구,2023-06-25,0.0
관악구,2023-06-26,52.0
관악구,2023-06-27,3.5
관악구,2023-06-28,0.0
관악구,2023-06-29,117.5
관악구,2023-06-30,1.5
광진구,2023-01-02,0.0
광진구,2023-01-03,0.0
광진구,2023-01-04,0.0
광진구,2023-01-05,0.0
광진구,2023-01-06,0.5
광진구,2023-01-07,3.5
광진구,2023-01-08,0.0
광진구,2023-01-09,0.0
광진구,2023-01-10,0.0
광진구,2023-01-11,0.0
광진구,2023-01-12,0.0
광진구,2023-01-13,37.5
광진구,2023-01-14,1.5
광진구,2023-01-15,4.5
광진구,2023-01-16,0.0
광진구,2023-01-17,0.0
광진구,2023-01-18,0.0
광진구,2023-01-19,1.0
광진구,2023-01-20,0.5
광진구,2023-01-21,0.0
광진구,2023-01-22,0.0
광진구,2023-01-23,0.0
광진구,2023-01-24,0.0
광진구,2023-01-25,0.0
광진구,2023-01-26,0.0
광진구,2023-01-27,0.0
광진구,2023-01-28,0.0
광진구,2023-01-29,0.0
광진구,2023-01-30,0.0
광진구,2023-01-31,0.0
광진구,2023-02-01,0.0
광진구,2023-02-02,0.0
광진구,2023-02-03,0.0
광진구,2023-02-04,0.0
광진구,2023-02-05,0.0
광진구,2023-02-06,0.0
광진구,2023-02-07,0.0
광진구,2023-02-08,0.0
광진구,2023-02-09,0.0
광진구,2023-02-10,0.5
광진구,2023-02-11,0.0
광진구,2023-02-12,0.0
광진구,2023-02-13,0.0
광진구,2023-02-14,0.0
광진구,2023-02-15,0.0
광진구,2023-02-16,0.0
광진구,2023-02-17,0.0
