LOCATION,TIME,PM25
SWE,2017,5.781
SWE,2018,5.767
SWE,2019,5.721
CHE,1990,18.277
CHE,1995,16.984
CHE,2000,15.073
CHE,2005,13.239
CHE,2010,13.328
CHE,2011,13.989
CHE,2012,12.882
CHE,2013,12.64
CHE,2014,10.748
CHE,2015,11.739
CHE,2016,10.733
CHE,2017,9.986
CHE,2018,10.291
CHE,2019,10.044
GBR,1990,17.021
GBR,1995,16.001
GBR,2000,14.764
GBR,2005,13.24
GBR,2010,12.388
GBR,2011,12.951
GBR,2012,11.389
GBR,2013,11.367
GBR,2014,10.828
GBR,2015,10.323
GBR,2016,10.153
GBR,2017,10.287
GBR,2018,10.104
GBR,2019,10.022
USA,1990,13.191
USA,1995,12.73
USA,2000,11.959
USA,2005,10.942
USA,2010,9.231
USA,2011,9.272
USA,2012,8.882
USA,2013,8.655
USA,2014,8.445
USA,2015,8.178
USA,2016,7.391
USA,2017,7.758
USA,2018,7.788
USA,2019,7.676
G7M,1990,15.897
G7M,1995,15.06
G7M,2000,14.126
G7M,2005,12.96
G7M,2010,11.957
G7M,2011,12.217
G7M,2012,11.498
G7M,2013,11.337
G7M,2014,10.877
G7M,2015,10.842
G7M,2016,10.082
G7M,2017,10.369
G7M,2018,10.365
G7M,2019,10.271
AFG,1990,49.345
AFG,1995,48.589
AFG,2000,52.234
AFG,2005,46.604
AFG,2010,52.496
AFG,2011,57.1
AFG,2012,55.466
AFG,2013,59.623
AFG,2014,62.722
AFG,2015,61.412
AFG,2016,57.966
AFG,2017,54.031
AFG,2018,53.432
AFG,2019,52.998
ALB,1990,24.515
ALB,1995,23.833
ALB,2000,24.176
ALB,2005,21.985
ALB,2010,21.557
ALB,2011,23.314
ALB,2012,21.456
ALB,2013,19.939
ALB,2014,19.817
ALB,2015,19.425
ALB,2016,17.691
ALB,2017,18.869
ALB,2018,18.66
ALB,2019,18.46
DZA,1990,29.82
DZA,1995,31.741
DZA,2000,35.611
DZA,2005,34.118
DZA,2010,32.14
DZA,2011,31.689
DZA,2012,32.7
DZA,2013,30.513
DZA,2014,32.01
DZA,2015,33.601
DZA,2016,32.901
DZA,2017,32.665
DZA,2018,32.761
DZA,2019,32.916
AGO,1990,29.884
AGO,1995,28.372
AGO,2000,28.148
AGO,2005,28.515
AGO,2010,28.961
AGO,2011,29.054
AGO,2012,29.279
AGO,2013,29.513
AGO,2014,28.475
AGO,2015,29.276
AGO,2016,29.265
AGO,2017,28.052
AGO,2018,28.317
AGO,2019,28.022
ARG,1990,16.008
ARG,1995,15.854
ARG,2000,14.471
ARG,2005,13.612
ARG,2010,14.054
ARG,2011,14.527
ARG,2012,13.685
ARG,2013,15.069
ARG,2014,14.115
ARG,2015,14.937
ARG,2016,14.452
ARG,2017,13.952
ARG,2018,13.973
ARG,2019,13.847
ARM,1990,33.08
ARM,1995,32.711
ARM,2000,31.619
ARM,2005,32.419
ARM,2010,36.201
ARM,2011,40.795
ARM,2012,41.393
ARM,2013,39.195
ARM,2014,38.755
ARM,2015,38.118
ARM,2016,34.872
ARM,2017,35.557
ARM,2018,34.639
ARM,2019,34.241
AZE,1990,23.023
AZE,1995,26.519
AZE,2000,25.158
AZE,2005,23.783
AZE,2010,25.842
AZE,2011,27.727
AZE,2012,29.593
AZE,2013,29.048
AZE,2014,28.289
AZE,2015,26.816
AZE,2016,25.058
AZE,2017,25.803
AZE,2018,25.884
AZE,2019,26.269
BHR,1990,55.271
BHR,1995,52.826
BHR,2000,62.38
BHR,2005,65.851
BHR,2010,63.267
BHR,2011,64.829
BHR,2012,67.43
BHR,2013,63.572
BHR,2014,58.959
BHR,2015,65.714
BHR,2016,61.124
BHR,2017,61.12
BHR,2018,59.88
BHR,2019,58.662
BGD,1990,52.987
BGD,1995,51.704
BGD,2000,53.802
BGD,2005,55.149
BGD,2010,56.488
BGD,2011,60.639
BGD,2012,69.004
BGD,2013,66.479
BGD,2014,73.372
BGD,2015,69.081
BGD,2016,67.908
BGD,2017,62.824
BGD,2018,63.39
BGD,2019,63.545
BLR,1990,25.509
BLR,1995,23.361
BLR,2000,22.062
BLR,2005,21.15
BLR,2010,22.464
BLR,2011,19.86
BLR,2012,19.164
BLR,2013,20.061
BLR,2014,20.489
BLR,2015,18.733
BLR,2016,16.906
BLR,2017,16.59
BLR,2018,16.666
BLR,2019,16.572
BEN,1990,45.405
BEN,1995,41.207
BEN,2000,47.29
BEN,2005,41.224
BEN,2010,41.207
BEN,2011,41.556
BEN,2012,43.131
BEN,2013,38.98
BEN,2014,39.025
BEN,2015,48.557
BEN,2016,46.11
BEN,2017,44.611
BEN,2018,45.719
BEN,2019,46.237
BTN,1990,36.626
BTN,1995,35.298
BTN,2000,36.997
BTN,2005,40.163
BTN,2010,39.66
BTN,2011,37.995
BTN,2012,44.212
BTN,2013,42.638
BTN,2014,48.562
BTN,2015,44.497
BTN,2016,43.646
BTN,2017,40.249
BTN,2018,40.473
BTN,2019,40.374
BOL,1990,51.517
BOL,1995,44.34
BOL,2000,30.718
BOL,2005,28.0
BOL,2010,31.867
BOL,2011,28.845
BOL,2012,28.677
BOL,2013,26.97
BOL,2014,28.543
BOL,2015,29.543
BOL,2016,28.391
BOL,2017,27.937
BOL,2018,27.717
BOL,2019,27.488
BIH,1990,43.034
BIH,1995,42.471
BIH,2000,39.23
BIH,2005,37.022
BIH,2010,35.465
BIH,2011,39.361
BIH,2012,35.516
BIH,2013,33.936
BIH,2014,32.558
BIH,2015,33.857
BIH,2016,29.593
BIH,2017,30.775
BIH,2018,30.781
BIH,2019,30.287
BWA,1990,24.283
BWA,1995,24.027
BWA,2000,24.315
BWA,2005,24.74
BWA,2010,26.597
BWA,2011,27.003
BWA,2012,27.059
BWA,2013,26.103
BWA,2014,25.672
BWA,2015,26.6
BWA,2016,25.651
BWA,2017,25.393
BWA,2018,25.475
BWA,2019,25.329
BRA,1990,14.806
BRA,1995,14.656
BRA,2000,14.573
BRA,2005,14.581
BRA,2010,14.057
BRA,2011,14.673
BRA,2012,13.768
BRA,2013,13.138
BRA,2014,12.988
BRA,2015,11.688
BRA,2016,11.42
BRA,2017,11.669
BRA,2018,11.634
BRA,2019,11.666
BRN,1990,7.798
BRN,1995,6.716
BRN,2000,6.457
BRN,2005,6.716
BRN,2010,6.403
BRN,2011,7.356
BRN,2012,7.625
BRN,2013,7.64
BRN,2014,7.772
BRN,2015,7.952
BRN,2016,7.68
BRN,2017,7.38
BRN,2018,7.72
BRN,2019,7.72
BGR,1990,28.772
BGR,1995,27.381
BGR,2000,26.722
BGR,2005,24.48
BGR,2010,23.417
BGR,2011,26.332
BGR,2012,23.273
BGR,2013,21.803
BGR,2014,22.244
BGR,2015,20.864
BGR,2016,19.951
BGR,2017,20.223
BGR,2018,20.213
BGR,2019,19.927
BFA,1990,51.922
BFA,1995,49.417
BFA,2000,54.914
BFA,2005,54.951
BFA,2010,53.993
BFA,2011,51.248
BFA,2012,54.194
BFA,2013,47.353
BFA,2014,48.429
BFA,2015,60.279
BFA,2016,56.265
BFA,2017,53.549
BFA,2018,53.665
BFA,2019,53.685
BDI,1990,34.496
BDI,1995,34.783
BDI,2000,36.186
BDI,2005,33.671
BDI,2010,33.231
BDI,2011,35.354
BDI,2012,37.159
BDI,2013,35.116
BDI,2014,34.964
BDI,2015,35.837
BDI,2016,35.549
BDI,2017,32.893
BDI,2018,33.811
BDI,2019,33.324
KHM,1990,28.388
KHM,1995,26.848
KHM,2000,27.493
KHM,2005,29.45
KHM,2010,29.002
KHM,2011,24.821
KHM,2012,25.025
KHM,2013,28.137
KHM,2014,24.314
KHM,2015,24.118
KHM,2016,24.889
KHM,2017,22.085
KHM,2018,22.339
KHM,2019,22.136
CMR,1990,67.543
CMR,1995,60.167
CMR,2000,69.061
CMR,2005,62.542
CMR,2010,60.636
CMR,2011,60.062
CMR,2012,62.559
CMR,2013,57.965
CMR,2014,57.778
CMR,2015,71.141
CMR,2016,66.837
CMR,2017,63.753
CMR,2018,65.457
CMR,2019,66.154
CAF,1990,45.819
CAF,1995,45.064
CAF,2000,45.652
CAF,2005,42.077
CAF,2010,44.33
CAF,2011,47.259
CAF,2012,47.628
CAF,2013,45.188
CAF,2014,42.844
CAF,2015,48.644
CAF,2016,46.04
CAF,2017,44.878
CAF,2018,46.622
CAF,2019,46.897
TCD,1990,59.562
TCD,1995,55.116
TCD,2000,60.285
TCD,2005,59.442
TCD,2010,57.804
TCD,2011,58.929
TCD,2012,60.051
TCD,2013,55.868
TCD,2014,53.489
TCD,2015,64.14
TCD,2016,59.853
TCD,2017,59.552
TCD,2018,59.321
TCD,2019,59.426
CHL,1990,23.58
CHL,1995,23.458
CHL,2000,22.98
CHL,2005,21.952
CHL,2010,21.935
CHL,2011,23.314
CHL,2012,22.287
CHL,2013,23.856
CHL,2014,23.203
CHL,2015,24.495
CHL,2016,24.729
CHL,2017,22.81
CHL,2018,23.639
CHL,2019,23.683
CHN,1990,49.597
CHN,1995,49.884
CHN,2000,50.822
CHN,2005,51.653
CHN,2010,53.243
CHN,2011,58.413
CHN,2012,58.916
CHN,2013,63.321
CHN,2014,60.319
CHN,2015,56.262
CHN,2016,51.644
CHN,2017,49.983
CHN,2018,49.333
CHN,2019,47.729
COL,1990,30.188
COL,1995,28.977
COL,2000,29.02
COL,2005,23.967
COL,2010,25.657
COL,2011,26.626
COL,2012,23.988
COL,2013,24.85
COL,2014,24.424
COL,2015,23.456
COL,2016,23.254
COL,2017,22.566
COL,2018,22.639
COL,2019,22.525
COG,1990,41.088
COG,1995,39.983
COG,2000,39.454
COG,2005,37.729
COG,2010,38.918
COG,2011,39.496
COG,2012,40.019
COG,2013,41.834
COG,2014,38.83
COG,2015,42.221
COG,2016,40.827
COG,2017,38.642
COG,2018,39.683
COG,2019,39.25
CRI,1990,16.838
CRI,1995,16.209
CRI,2000,17.974
CRI,2005,18.188
CRI,2010,18.152
CRI,2011,19.612
CRI,2012,18.908
CRI,2013,19.218
CRI,2014,18.307
CRI,2015,18.582
CRI,2016,17.925
CRI,2017,17.462
CRI,2018,17.542
CRI,2019,17.436
CIV,1990,57.821
CIV,1995,48.649
CIV,2000,60.17
CIV,2005,57.055
CIV,2010,51.076
CIV,2011,56.814
CIV,2012,57.038
CIV,2013,49.044
CIV,2014,48.23
CIV,2015,63.771
CIV,2016,61.666
CIV,2017,55.332
CIV,2018,55.897
CIV,2019,55.925
HRV,1990,25.372
HRV,1995,24.95
HRV,2000,23.347
HRV,2005,22.797
HRV,2010,20.824
HRV,2011,22.821
HRV,2012,20.227
HRV,2013,19.698
HRV,2014,19.266
HRV,2015,19.639
HRV,2016,17.484
HRV,2017,18.077
HRV,2018,18.375
HRV,2019,18.227
CUB,1990,20.232
CUB,1995,19.799
CUB,2000,21.007
CUB,2005,19.311
CUB,2010,18.271
CUB,2011,19.138
CUB,2012,19.282
CUB,2013,19.425
CUB,2014,19.808
CUB,2015,20.309
CUB,2016,19.599
CUB,2017,18.606
CUB,2018,18.451
CUB,2019,17.955
CYP,1990,15.935
CYP,1995,17.091
CYP,2000,18.802
CYP,2005,18.267
CYP,2010,19.129
CYP,2011,18.825
CYP,2012,17.084
CYP,2013,16.562
CYP,2014,16.665
CYP,2015,17.407
CYP,2016,14.624
CYP,2017,15.356
CYP,2018,15.814
CYP,2019,15.793
PRK,1990,41.821
PRK,1995,40.201
PRK,2000,41.298
PRK,2005,41.445
PRK,2010,39.387
PRK,2011,45.33
PRK,2012,46.176
PRK,2013,50.611
PRK,2014,50.002
